# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6DF zvm_set_text_style=$E32F zvm_buffer_mode=$E386
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
105 0A cr_newline count=0 ops=0000,0000,003C,0001
106 0A cr_newline count=0 ops=0000,0000,003C,0001
107 0A cr_newline count=0 ops=00D3,0001,0161,A4EF
108 0A cr_newline count=0 ops=00D3,0001,0161,A4EF
109 0A cr_newline count=0 ops=00D3,0001,0161,A4EF
110 0A cr_newline count=0 ops=0001,0004,006F,019C
111 02 set_window count=1 ops=0001,0004,006F,019C
112 04 set_cursor count=2 ops=0002,000A,006F,019C
113 06 set_colour count=2 ops=0002,FFFF,006F,019C
114 04 set_cursor count=2 ops=0004,0012,006F,019C
115 04 set_cursor count=2 ops=0004,0012,006F,019C
116 06 set_colour count=2 ops=0002,0009,006F,019C
117 02 set_window count=1 ops=0000,0009,006F,019C
--- boot: first prompt
--- turn: look
118 0A cr_newline count=2 ops=6CB4,0000,0000,019C
119 38 push_stack count=2 ops=0001,696C,0014,000A
120 07 pull count=1 ops=696C,696C,0022,000A
121 07 pull count=0 ops=0000,0000,0022,000A
122 38 push_stack count=2 ops=0001,696C,0022,000A
123 38 push_stack count=2 ops=0001,69C0,0003,0000
124 07 pull count=1 ops=696C,696C,0003,0000
125 07 pull count=0 ops=0000,0000,0003,0000
126 38 push_stack count=2 ops=0001,696C,0003,0000
127 38 push_stack count=2 ops=0007,696C,0002,0000
128 07 pull count=1 ops=696C,696C,0002,0000
129 07 pull count=0 ops=0000,0000,0002,0000
130 38 push_stack count=2 ops=0007,696C,0002,0000
131 38 push_stack count=2 ops=0001,69C0,B82C,0000
132 07 pull count=1 ops=696C,696C,B82C,0000
133 07 pull count=0 ops=0000,0000,B82C,0000
134 38 push_stack count=2 ops=0007,696C,B82C,0000
135 38 push_stack count=2 ops=0027,696C,0004,0000
136 07 pull count=1 ops=696C,696C,0004,0000
137 07 pull count=0 ops=0000,0000,0004,0000
138 38 push_stack count=2 ops=0027,696C,0004,0000
139 38 push_stack count=2 ops=9994,69C0,BAF1,0000
140 38 push_stack count=2 ops=002C,696C,BAF1,0000
141 07 pull count=1 ops=696C,696C,7D62,7D50
