# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6DF zvm_set_text_style=$E32F zvm_buffer_mode=$E386
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
455 38 push_stack count=2 ops=9CB5,69C0,0014,0084
456 07 pull count=1 ops=69C0,0007,0000,0084
457 0A cr_newline count=0 ops=0183,0193,0002,0084
458 0A cr_newline count=0 ops=0005,0005,0015,0084
459 0A cr_newline count=0 ops=0005,0005,0015,0084
460 0A cr_newline count=0 ops=0005,0005,0015,0084
461 0A cr_newline count=0 ops=0005,0005,0015,0084
462 0A cr_newline count=0 ops=0005,0005,0015,0084
463 0A cr_newline count=0 ops=0005,0005,0015,0084
464 0A cr_newline count=1 ops=0885,0885,0015,0084
465 0A cr_newline count=0 ops=0885,0885,0015,0084
466 0A cr_newline count=0 ops=0885,0885,0015,0084
467 0A cr_newline count=0 ops=0885,0885,0015,0084
468 0A cr_newline count=0 ops=162F,0885,0015,0084
469 0A cr_newline count=0 ops=0073,0001,0015,0084
470 0A cr_newline count=1 ops=026F,0000,0015,0084
471 02 set_window count=1 ops=0001,0000,0015,0084
472 04 set_cursor count=2 ops=0002,000A,0015,0084
473 06 set_colour count=2 ops=0002,FFFF,0015,0084
474 04 set_cursor count=2 ops=0004,0012,0015,0084
475 04 set_cursor count=2 ops=0004,0012,0015,0084
476 06 set_colour count=2 ops=0002,0009,0015,0084
477 02 set_window count=1 ops=0000,0009,0015,0084
478 0A cr_newline count=0 ops=0007,000B,0015,0084
479 0A cr_newline count=0 ops=0000,03E8,0015,0084
480 0A cr_newline count=0 ops=0000,03E8,0015,0084
481 33 get_wind_prop count=2 ops=0000,0003,0015,0084
482 33 get_wind_prop count=2 ops=0000,0005,0015,0084
--- turn: look
483 0A cr_newline count=2 ops=6CB4,69EA,0000,0084
484 0A cr_newline count=0 ops=9994,8647,8650,93D0
485 02 set_window count=1 ops=0001,8647,8650,93D0
486 04 set_cursor count=2 ops=0002,000A,8650,93D0
487 06 set_colour count=2 ops=0002,FFFF,8650,93D0
488 04 set_cursor count=2 ops=0004,0012,8650,93D0
489 04 set_cursor count=2 ops=0004,0012,8650,93D0
490 06 set_colour count=2 ops=0002,0009,8650,93D0
491 02 set_window count=1 ops=0000,0009,8650,93D0
492 0A cr_newline count=0 ops=0007,000B,8650,93D0
493 0A cr_newline count=0 ops=0000,03E8,8650,93D0
494 0A cr_newline count=0 ops=0000,03E8,8650,93D0
495 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
496 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: s
497 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
498 0A cr_newline count=0 ops=A564,8647,8650,93D0
499 02 set_window count=1 ops=0001,8647,8650,93D0
500 04 set_cursor count=2 ops=0002,000A,8650,93D0
501 06 set_colour count=2 ops=0002,FFFF,8650,93D0
502 04 set_cursor count=2 ops=0004,0012,8650,93D0
503 04 set_cursor count=2 ops=0004,0012,8650,93D0
504 06 set_colour count=2 ops=0002,0009,8650,93D0
505 02 set_window count=1 ops=0000,0009,8650,93D0
506 0A cr_newline count=0 ops=0007,000B,8650,93D0
507 0A cr_newline count=0 ops=0000,03E8,8650,93D0
508 0A cr_newline count=0 ops=0000,03E8,8650,93D0
509 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
510 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: inventory
511 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
512 0A cr_newline count=0 ops=963D,8647,8650,93D0
513 02 set_window count=1 ops=0001,8647,8650,93D0
514 04 set_cursor count=2 ops=0002,000A,8650,93D0
515 06 set_colour count=2 ops=0002,FFFF,8650,93D0
516 04 set_cursor count=2 ops=0004,0012,8650,93D0
517 04 set_cursor count=2 ops=0004,0012,8650,93D0
518 06 set_colour count=2 ops=0002,0009,8650,93D0
519 02 set_window count=1 ops=0000,0009,8650,93D0
520 0A cr_newline count=0 ops=0007,000B,8650,93D0
521 0A cr_newline count=0 ops=0000,03E8,8650,93D0
522 0A cr_newline count=0 ops=0000,03E8,8650,93D0
523 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
524 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: n
525 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
526 0A cr_newline count=0 ops=9C76,8647,8650,93D0
527 02 set_window count=1 ops=0001,8647,8650,93D0
528 04 set_cursor count=2 ops=0002,000A,8650,93D0
529 06 set_colour count=2 ops=0002,FFFF,8650,93D0
530 04 set_cursor count=2 ops=0004,0012,8650,93D0
531 04 set_cursor count=2 ops=0004,0012,8650,93D0
532 06 set_colour count=2 ops=0002,0009,8650,93D0
533 02 set_window count=1 ops=0000,0009,8650,93D0
534 0A cr_newline count=0 ops=0007,000B,8650,93D0
535 0A cr_newline count=0 ops=0000,03E8,8650,93D0
536 0A cr_newline count=0 ops=0000,03E8,8650,93D0
537 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
538 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: xyzzy frotz
539 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
540 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
541 0A cr_newline count=0 ops=0000,8647,8650,93D0
542 02 set_window count=1 ops=0001,8647,8650,93D0
543 04 set_cursor count=2 ops=0002,000A,8650,93D0
544 06 set_colour count=2 ops=0002,FFFF,8650,93D0
545 04 set_cursor count=2 ops=0004,0012,8650,93D0
546 04 set_cursor count=2 ops=0004,0012,8650,93D0
547 06 set_colour count=2 ops=0002,0009,8650,93D0
548 02 set_window count=1 ops=0000,0009,8650,93D0
549 0A cr_newline count=0 ops=0007,000B,8650,93D0
550 0A cr_newline count=0 ops=0000,03E8,8650,93D0
551 0A cr_newline count=0 ops=0000,03E8,8650,93D0
552 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
553 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: look
554 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
555 0A cr_newline count=0 ops=9994,8647,8650,93D0
556 02 set_window count=1 ops=0001,8647,8650,93D0
557 04 set_cursor count=2 ops=0002,000A,8650,93D0
558 06 set_colour count=2 ops=0002,FFFF,8650,93D0
559 04 set_cursor count=2 ops=0004,0012,8650,93D0
560 04 set_cursor count=2 ops=0004,0012,8650,93D0
561 06 set_colour count=2 ops=0002,0009,8650,93D0
562 02 set_window count=1 ops=0000,0009,8650,93D0
563 0A cr_newline count=0 ops=0007,000B,8650,93D0
564 0A cr_newline count=0 ops=0000,03E8,8650,93D0
565 0A cr_newline count=0 ops=0000,03E8,8650,93D0
566 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
567 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: ne
568 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
569 0A cr_newline count=0 ops=9CB5,8647,8650,93D0
570 02 set_window count=1 ops=0001,8647,8650,93D0
571 04 set_cursor count=2 ops=0002,000A,8650,93D0
572 06 set_colour count=2 ops=0002,FFFF,8650,93D0
573 04 set_cursor count=2 ops=0004,0012,8650,93D0
574 04 set_cursor count=2 ops=0004,0012,8650,93D0
575 06 set_colour count=2 ops=0002,0009,8650,93D0
576 02 set_window count=1 ops=0000,0009,8650,93D0
577 0A cr_newline count=0 ops=0007,000B,8650,93D0
578 0A cr_newline count=0 ops=0000,03E8,8650,93D0
579 0A cr_newline count=0 ops=0000,03E8,8650,93D0
580 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
581 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: s
582 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
583 0A cr_newline count=0 ops=A564,8647,8650,93D0
584 02 set_window count=1 ops=0001,8647,8650,93D0
585 04 set_cursor count=2 ops=0002,000A,8650,93D0
586 06 set_colour count=2 ops=0002,FFFF,8650,93D0
587 04 set_cursor count=2 ops=0004,0012,8650,93D0
588 04 set_cursor count=2 ops=0004,0012,8650,93D0
589 06 set_colour count=2 ops=0002,0009,8650,93D0
590 02 set_window count=1 ops=0000,0009,8650,93D0
591 0A cr_newline count=0 ops=0007,000B,8650,93D0
592 0A cr_newline count=0 ops=0000,03E8,8650,93D0
593 0A cr_newline count=0 ops=0000,03E8,8650,93D0
594 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
595 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: x napkins
596 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
597 0A cr_newline count=0 ops=B4B8,8647,8650,93D0
598 02 set_window count=1 ops=0001,8647,8650,93D0
599 04 set_cursor count=2 ops=0002,000A,8650,93D0
600 06 set_colour count=2 ops=0002,FFFF,8650,93D0
601 04 set_cursor count=2 ops=0004,0012,8650,93D0
602 04 set_cursor count=2 ops=0004,0012,8650,93D0
603 06 set_colour count=2 ops=0002,0009,8650,93D0
604 02 set_window count=1 ops=0000,0009,8650,93D0
605 0A cr_newline count=0 ops=0007,000B,8650,93D0
606 0A cr_newline count=0 ops=0000,03E8,8650,93D0
607 0A cr_newline count=0 ops=0000,03E8,8650,93D0
608 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
609 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: wait
610 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
611 0A cr_newline count=0 ops=B1C4,8647,8650,93D0
612 02 set_window count=1 ops=0001,8647,8650,93D0
613 04 set_cursor count=2 ops=0002,000A,8650,93D0
614 06 set_colour count=2 ops=0002,FFFF,8650,93D0
615 04 set_cursor count=2 ops=0004,0012,8650,93D0
616 04 set_cursor count=2 ops=0004,0012,8650,93D0
617 06 set_colour count=2 ops=0002,0009,8650,93D0
618 02 set_window count=1 ops=0000,0009,8650,93D0
619 0A cr_newline count=0 ops=0007,000B,8650,93D0
620 0A cr_newline count=0 ops=0000,03E8,8650,93D0
621 0A cr_newline count=0 ops=0000,03E8,8650,93D0
622 33 get_wind_prop count=2 ops=0000,0003,8650,93D0
623 33 get_wind_prop count=2 ops=0000,0005,8650,93D0
--- turn: ne
624 0A cr_newline count=2 ops=6CB4,69EA,0000,93D0
--- turn: look
--- turn: s
--- turn: n
--- turn: w
--- turn: inventory
