# NZ6 dispatch trace (NOVAZ_SMOKE_TRACE_NZ6)
# regenerate: make -C examples/novaz capture-z6-trace PROJECT=zork-zero
# nz6_entry=$2002 zvm_erase_line=$E6A8 zvm_set_text_style=$E32F zvm_buffer_mode=$E381
# <seq> <id> <opname> count=<n> ops=<op0>,<op1>,<op2>,<op3>  (ops hex; id '--' = ROM-side hook)
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
--- key: <cr> ([ MORE ])
